EMPRESA	TICKER	CNPJ
ESTAPAR	ALPK3	60.537.263/0001-66
ETERNIT	ETER3	61.092.037/0001-81
EUCATEX	EUCA3/EUCA4	56.643.018/0001-66
EVEN CONSTRUTORA E INCORPORADORA	EVEN3	43.470.988/0001-65
EXCELSIOR ALIMENTOS	BAUH3/BAUH4	95.426.862/0001-97
EZ TEC	EZTC3	08.312.229/0001-73
FERTILIZANTES HERINGER	FHER3	22.266.175/0001-88
FLEURY	FLRY3	60.840.055/0001-31
FOCUS ENERGIA	POWE3	26.735.020/0001-02
FRAS-LE	FRAS3	88.610.126/0001-29
GAFISA	GFSA3	01.545.826/0001-07
GENERAL SHOPPING BRASIL	GSHP3	08.764.621/0001-53
GERDAU	GGBR3/GGBR4	33.611.500/0001-19
GET NINJAS	NINJ3	14.127.813/0001-51
GOL LINHAS AEREAS INTELIGENTES	GOLL4	06.164.253/0001-87
GRAZZIOTIN	CGRA3/CGRA4	92.012.467/0001-70
GRENDENE	GRND3	89.850.341/0001-60
GRUPO GPS	GGPS3	09.229.201/0001-30
GRUPO MATEUS	GMAT3	24.990.777/0001-09
GRUPO SOMA	SOMA3	10.285.590/0001-08
GRUPO VAMOS	VAMO3	23.373.000/0001-32
GUARARAPES CONFECCOES	GUAR3/GUAR4	08.402.943/0001-52
HAPVIDA	HAPV3	63.554.067/0001-98
HBR REALTY	HBRE3	14.785.152/0001-51
HELBOR EMPREENDIMENTOS	HBOR3	49.263.189/0001-02
HERING	HGTX3	78.876.950/0001-71
HIDROVIAS DO BRASIL	HBSA3	12.648.327/0001-53
HOSPITAL MATER DEI	MATD3	16.676.520/0001-59
HOTEIS OTHON	HOOT3/HOOT4	33.200.049/0001-47
HYPERA PHARMA	HYPE3	02.932.074/0001-91
IDEIASNET	IDNT3	02.365.069/0001-44
IGUATEMI EMPRESA DE SHOPPING CENTERS	IGTA3	51.218.147/0001-93
INDUSTRIAS ROMI	ROMI3	56.720.428/0001-63
INFRACOMMERCE	IFCM3	38.456.921/0001-36
INSTITUTO HERMES PARDINI	PARD3	19.378.769/0001-76
INTELBRAS	INTB3	82.901.000/0001-27
IOCHPE MAXION	MYPK3	61.156.113/0001-75
IRB – BRASIL RESSEGUROS	IRBR3	33.376.989/0001-91
ITAU UNIBANCO HOLDING	ITUB3/ITUB4	60.872.504/0001-23
ITAUSA INVESTIMENTOS	ITSA3/ITSA4	61.532.644/0001-15
JALLES MACHADO	JALL3	02.635.522/0001-95
JBS	JBSS3	02.916.265/0001-60
JHSF PARTICIPACOES	JHSF3	08.294.224/0001-65
JSL	JSLG3	52.548.435/0001-79
KARSTEN	CTKA3/CTKA4	82.640.558/0001-04
KEPLER WEBER	KEPL3	91.983.056/0001-69
KLABIN	KLBN11/KLBN3/KLBN4	89.637.490/0001-45
KORA SAÚDE	KRSA3	13.270.520/0001-66
LAVVI	LAVV3	26.462.693/0001-28
LIGHT	LIGT3	03.378.521/0001-75
LINX	LINX3	06.948.969/0001-75
LIVETECH DA BAHIA	LVTC3	05.917.486/0001-40
LOCALIZA RENT A CAR	RENT3	16.670.085/0001-55
LOCAWEB	LWSA3	02.351.877/0001-52
LOG COMMERCIAL PROPERTIES	LOGG3	09.041.168/0001-10
LOG-IN LOGISTICA INTERMODAL	LOGN3	42.278.291/0001-24
